zero,zero,零,/ˈzɪərəʊ/,numbers,,0
eleven,eleven,十一,/ɪˈlevn/,numbers,,11
twelve,twelve,十二,/twelv/,numbers,,12
thirteen,thirteen,十三,/ˌθɜːˈtiːn/,numbers,,13
fourteen,fourteen,十四,/ˌfɔːˈtiːn/,numbers,,14
fifteen,fifteen,十五,/ˌfɪfˈtiːn/,numbers,,15
sixteen,sixteen,十六,/ˌsɪksˈtiːn/,numbers,,16
seventeen,seventeen,十七,/ˌsevnˈtiːn/,numbers,,17
eighteen,eighteen,十八,/ˌeɪˈtiːn/,numbers,,18
nineteen,nineteen,十九,/ˌnaɪnˈtiːn/,numbers,,19
twenty,twenty,二十,/ˈtwenti/,numbers,,20
a,A,字母A,/eɪ/,alphabet,,A
b,B,字母B,/biː/,alphabet,,B
c,C,字母C,/siː/,alphabet,,C
d,D,字母D,/diː/,alphabet,,D
e,E,字母E,/iː/,alphabet,,E
f,F,字母F,/ef/,alphabet,,F
g,G,字母G,/dʒiː/,alphabet,,G
h,H,字母H,/eɪtʃ/,alphabet,,H
i,I,字母I,/aɪ/,alphabet,,I
j,J,字母J,/dʒeɪ/,alphabet,,J
k,K,字母K,/keɪ/,alphabet,,K
l,L,字母L,/el/,alphabet,,L
m,M,字母M,/em/,alphabet,,M
n,N,字母N,/en/,alphabet,,N
o,O,字母O,/əʊ/,alphabet,,O
p,P,字母P,/piː/,alphabet,,P
q,Q,字母Q,/kjuː/,alphabet,,Q
r,R,字母R,/ɑː/,alphabet,,R
s,S,字母S,/es/,alphabet,,S
t,T,字母T,/tiː/,alphabet,,T
u,U,字母U,/juː/,alphabet,,U
v,V,字母V,/viː/,alphabet,,V
w,W,字母W,/ˈdʌbljuː/,alphabet,,W
x,X,字母X,/eks/,alphabet,,X
y,Y,字母Y,/waɪ/,alphabet,,Y
z,Z,字母Z,/zed/,alphabet,,Z
circle,circle,圆形,/ˈsɜːkl/,shapes,,circle
square,square,正方形,/skweə/,shapes,,square
triangle,triangle,三角形,/ˈtraɪæŋɡl/,shapes,,triangle
rectangle,rectangle,长方形,/ˈrektæŋɡl/,shapes,,rectangle
oval,oval,椭圆形,/ˈəʊvl/,shapes,,oval
diamond,diamond,菱形,/ˈdaɪmənd/,shapes,,diamond
pentagon,pentagon,五边形,/ˈpentəɡən/,shapes,,pentagon
hexagon,hexagon,六边形,/ˈheksəɡən/,shapes,,hexagon
cross,cross,十字形,/krɒs/,shapes,,cross
arrow,arrow,箭头,/ˈærəʊ/,shapes,,arrow
line,line,线条,/laɪn/,shapes,,line
crescent,crescent,月牙形,/ˈkresnt/,shapes,,crescent
bone,bone,骨头,/bəʊn/,body,1f9b4,
heart,heart,心脏,/hɑːt/,body,1fac0,
lungs,lungs,肺,/lʌŋz/,body,1fac1,
hair,hair,头发,/heə/,body,,hair
finger,finger,手指,/ˈfɪŋɡə/,body,,finger
arm,arm,手臂,/ɑːm/,body,,arm
knee,knee,膝盖,/niː/,body,,knee
shoulder,shoulder,肩膀,/ˈʃəʊldə/,body,,shoulder
face,face,脸,/feɪs/,body,,face
back,back,后背,/bæk/,body,,back
leopard,leopard,豹子,/ˈlepəd/,animals,1f406,
otter,otter,水獭,/ˈɒtə/,animals,1f9a6,
skunk,skunk,臭鼬,/skʌŋk/,animals,1f9a8,
badger,badger,獾,/ˈbædʒə/,animals,1f9a1,
beaver,beaver,河狸,/ˈbiːvə/,animals,1f9ab,
raccoon,raccoon,浣熊,/rəˈkuːn/,animals,1f99d,
bison,bison,野牛,/ˈbaɪsn/,animals,1f9ac,
llama,llama,羊驼,/ˈlɑːmə/,animals,1f999,
bat,bat,蝙蝠,/bæt/,animals,1f987,
rat,rat,大老鼠,/ræt/,animals,1f400,
tangerine,tangerine,橘子,/ˈtændʒəriːn/,fruits,1f34a,
plum,plum,李子,/plʌm/,fruits,,plum
magic wand,magic wand,魔法棒,/ˈmædʒɪk wɒnd/,toys,1fa84,
crystal ball,crystal ball,水晶球,/ˈkrɪstl bɔːl/,toys,1f52e,
puppet,puppet,套娃,/ˈpʌpɪt/,toys,1fa86,
blocks,blocks,积木,/blɒks/,toys,,blocks
slide,slide,滑梯,/slaɪd/,toys,,slide
swing,swing,秋千,/swɪŋ/,toys,,swing
seesaw,seesaw,跷跷板,/ˈsiːsɔː/,toys,,seesaw
trampoline,trampoline,蹦床,/ˈtræmpəliːn/,toys,,trampoline
