adj-big,big,大的,/bɪɡ/,adjectives,,big
adj-small,small,小的,/smɔːl/,adjectives,,small
adj-tall,tall,高的,/tɔːl/,adjectives,,tall
adj-short,short,矮的或短的,/ʃɔːt/,adjectives,,short
adj-long,long,长的,/lɒŋ/,adjectives,,long
adj-new,new,新的,/njuː/,adjectives,,new
adj-old,old,旧的或老的,/əʊld/,adjectives,,old
adj-good,good,好的,/ɡʊd/,adjectives,,good
adj-bad,bad,坏的,/bæd/,adjectives,,bad
adj-fast,fast,快的,/fɑːst/,adjectives,,fast
adj-slow,slow,慢的,/sləʊ/,adjectives,,slow
adj-hot,hot,热的,/hɒt/,adjectives,,hot
adj-cold,cold,冷的,/kəʊld/,adjectives,,cold
adj-warm,warm,温暖的,/wɔːm/,adjectives,,warm
adj-cool,cool,凉爽的,/kuːl/,adjectives,,cool
adj-wet,wet,湿的,/wet/,adjectives,,wet
adj-dry,dry,干的,/draɪ/,adjectives,,dry
adj-clean,clean,干净的,/kliːn/,adjectives,,clean
adj-dirty,dirty,脏的,/ˈdɜːti/,adjectives,,dirty
adj-soft,soft,软的,/sɒft/,adjectives,,soft
adj-hard,hard,硬的,/hɑːd/,adjectives,,hard
adj-heavy,heavy,重的,/ˈhevi/,adjectives,,heavy
adj-light,light,轻的,/laɪt/,adjectives,,light
adj-full,full,满的,/fʊl/,adjectives,,full
adj-empty,empty,空的,/ˈempti/,adjectives,,empty
adj-sweet,sweet,甜的,/swiːt/,adjectives,,sweet
adj-sour,sour,酸的,/ˈsaʊə/,adjectives,,sour
adj-spicy,spicy,辣的,/ˈspaɪsi/,adjectives,,spicy
adj-fresh,fresh,新鲜的,/freʃ/,adjectives,,fresh
adj-round,round,圆的,/raʊnd/,adjectives,,round
adj-straight,straight,直的,/streɪt/,adjectives,,straight
adj-curly,curly,卷的,/ˈkɜːli/,adjectives,,curly
adj-smooth,smooth,光滑的,/smuːð/,adjectives,,smooth
adj-rough,rough,粗糙的,/rʌf/,adjectives,,rough
adj-shiny,shiny,闪亮的,/ˈʃaɪni/,adjectives,,shiny
adj-dull,dull,暗淡的,/dʌl/,adjectives,,dull
adj-bright,bright,明亮的,/braɪt/,adjectives,,bright
adj-dark,dark,黑暗的,/dɑːk/,adjectives,,dark
adj-funny,funny,滑稽的,/ˈfʌni/,adjectives,,funny
adj-kind,kind,友善的,/kaɪnd/,adjectives,,kind
adj-gentle,gentle,温柔的,/ˈdʒentl/,adjectives,,gentle
adj-polite,polite,有礼貌的,/pəˈlaɪt/,adjectives,,polite
adj-lazy,lazy,懒的,/ˈleɪzi/,adjectives,,lazy
adj-busy,busy,忙的,/ˈbɪzi/,adjectives,,busy
adj-lucky,lucky,幸运的,/ˈlʌki/,adjectives,,lucky
adj-careful,careful,小心的,/ˈkeəfl/,adjectives,,careful
adj-friendly,friendly,友好的,/ˈfrendli/,adjectives,,friendly
adj-hungry,hungry,饿的,/ˈhʌŋɡri/,adjectives,,hungry
adj-thirsty,thirsty,渴的,/ˈθɜːsti/,adjectives,,thirsty
adj-tired2,tired,疲倦的,/ˈtaɪəd/,adjectives,,tired
adj-awake,awake,醒着的,/əˈweɪk/,adjectives,,awake
adj-colorful,colorful,五彩缤纷的,/ˈkʌləfl/,adjectives,,colorful
adj-beautiful,beautiful,美丽的,/ˈbjuːtɪfl/,adjectives,,beautiful
adj-pretty,pretty,漂亮的,/ˈprɪti/,adjectives,,pretty
adj-handsome,handsome,英俊的,/ˈhænsəm/,adjectives,,handsome
adj-huge,huge,巨大的,/hjuːdʒ/,adjectives,,huge
adj-tiny,tiny,极小的,/ˈtaɪni/,adjectives,,tiny
adj-giant,giant,庞大的,/ˈdʒaɪənt/,adjectives,,giant
